fixed.acidity,volatile.acidity,citric.acid,residual.sugar,free.sulfur.dioxide,total.sulfur.dioxide,pH,sulphates,alcohol,label,chlorides_std,density_std,high_quality
7.2,0.33,0.22,4.5,10,73,2.97,0.52,12.2,expert,-0.6558455536279351,-1.0942152201288042,1
6.4,0.17,0.34,13.4,45,139,3.06,0.43,9.1,expert,-0.1036737884708416,1.1535487632451684,1
6.5,0.2,0.24,9.2,25,150,3.22,0.44,10.5,expert,-0.1036737884708416,0.32227510075481025,0
7,0.44,0.24,12.1,68,210,3.05,0.5,9.5,expert,0.4060232255203218,1.040495545146475,0
6.6,0.3,0.25,8,21,124,3.06,0.38,10.8,expert,-0.4434717977982838,-0.14323815023982284,1
6.4,0.27,0.49,7.3,53,206,3.24,0.43,9.2,expert,-0.018724286138980986,0.5151305904525858,1
5.4,0.27,0.22,4.6,29,107,3.33,0.54,13.8,expert,-1.0381183141213075,-1.7160079196715812,1
7,0.24,0.32,1.3,39,123,3.17,0.42,11.2,expert,-0.40099704663235347,-0.6819034835335714,1
7.4,0.18,0.29,1.4,34,101,3.54,0.6,10.5,expert,-0.18862329080270193,-0.07008606794067043,1
7.6,0.31,0.24,1.8,39,150,3.05,0.44,11.8,expert,-0.40099704663235347,-0.914660109030888,1
6.3,0.34,0.29,6.2,29,227,3.29,0.53,10.1,expert,-0.018724286138980986,0.38212680445410335,1
6.9,0.23,0.24,14.2,19,94,3.17,0.5,9.6,expert,0.27859897202253087,1.3796551994425554,0
6.2,0.26,0.2,8,35,111,3.11,0.42,10.4,expert,0.02375046502694932,0.1327447057069811,1
7.2,0.47,0.16,5.9,14,125,3.09,0.49,9.8,expert,0.06622521619287963,0.0762180966576713,0
7,0.31,0.31,9.1,45,140,2.98,0.31,12,expert,-0.4434717977982838,-0.6287019691341711,1
7.5,0.33,0.48,19.45,55,243,2.95,0.4,8.8,expert,0.06622521619287963,2.3106817014317476,0
7.2,0.27,0.74,12.5,47,156,3.04,0.44,8.7,expert,-0.40099704663235347,1.346404252942944,0
6.5,0.38,0.53,1.4,5,69,3.14,0.52,10.1,expert,4.058851825790325,-0.4823978045358663,0
6.9,0.25,0.24,1.8,6,121,3.23,0.7,11.4,expert,0.27859897202253087,-0.34939401853742075,0
6.7,0.25,0.26,1.55,118.5,216,3.55,0.63,9.4,expert,-0.23109804196863223,0.28237396495526923,0
7,0.34,0.1,3.5,17,63,3.01,0.39,9.2,expert,-0.1036737884708416,-0.1166373930401042,0
6.4,0.31,0.28,2.5,34,137,3.22,0.38,12.7,expert,-0.31604754430049287,-1.526477524623789,1
9.8,0.93,0.45,8.6,34,187,3.12,0.59,10.2,expert,0.23612422085660056,1.7786665574379288,0
7.5,0.29,0.24,9.9,25,115,3.15,0.46,10.9,expert,0.49097272785218243,0.5384062530023211,0
6.6,0.32,0.24,1.3,42.5,204,3.59,0.51,9.2,expert,0.5759222301840428,0.3555260472544216,0
7,0.24,0.26,1.7,31,110,3.2,0.53,11,expert,-0.23109804196863223,-0.874758973231347,1
6.2,0.22,0.28,2.2,24,125,3.19,0.48,10.5,expert,-0.27357279313456256,-0.7816563230324055,1
7.4,0.19,0.3,12.8,48.5,229,3.14,0.49,9.1,expert,0.27859897202253087,1.5126589854410377,1
7.4,0.32,0.27,12.9,60,221,3.05,0.66,9.4,expert,-0.27357279313456256,1.41623124059215,0
7.6,0.34,0.39,7.6,45,215,3.11,0.53,9.2,expert,-0.27357279313456256,0.8143891089491251,1
8,0.3,0.28,5.7,31,124,3.16,0.51,10.2,expert,-0.1036737884708416,0.24912301845565785,1
7.4,0.18,0.34,2.7,30,107,2.97,0.53,11,expert,-0.6983203047938653,-0.6819034835335714,1
6.8,0.31,0.3,8,33,122,3.13,0.63,12.6,expert,-0.7832698071257258,-0.8016068909321945,1
8.8,0.34,0.33,9.7,46,172,3.08,0.4,10.2,expert,-0.4434717977982838,0.8476400554487364,0
5.8,0.21,0.32,1.6,38,95,3.23,0.94,12.4,expert,-0.061199037304911295,-1.526477524623789,1
6,0.28,0.24,17.8,42,111,3.1,0.45,8.9,expert,0.02375046502694932,1.632362392839624,1
6.2,0.36,0.26,13.2,54,201,3.25,0.46,9,expert,0.19364946969067026,1.180149520444887,0
6.6,0.25,0.42,11.3,77,231,3.24,0.52,9.5,expert,0.10869996735880993,0.8476400554487364,1
6.7,0.25,0.33,2.9,52,173,3.02,0.48,9.5,expert,0.44849797668625213,-0.21639023253897524,1
7.6,0.23,0.49,10,45,182,3.08,0.58,9.6,expert,-0.4434717977982838,0.8808910019483478,1
9.4,0.26,0.53,1.2,25,109,3.23,0.28,12.5,expert,0.02375046502694932,-0.6486525370339601,1
6,0.27,0.26,1.3,32,138,3.46,0.43,11.1,expert,-0.35852229546642317,-0.9312855822806937,1
7.1,0.43,0.25,2.8,43,132,3.21,0.47,13.4,expert,-0.4434717977982838,-1.4300497797749012,1
7,0.35,0.3,6.5,27,87,3.4,0.42,11.4,expert,-0.7832698071257258,-0.1498883395397156,1
6.1,0.34,0.46,4.7,21,94,3.29,0.62,12.3,expert,-0.7407950559597954,-1.0144129485297222,1
5.8,0.15,0.31,5.9,7,73,3.2,0.43,11.9,expert,-0.4434717977982838,-0.8415080267317355,1
7.1,0.21,0.28,2.7,23,111,3.35,0.64,10.2,expert,-0.5284213001301441,-2.5908029146439013e-4,0
6.3,0.22,0.27,4.5,81,157,3.05,0.76,10.7,expert,-0.4434717977982838,-0.4158959115366435,1
6.1,0.34,0.21,5,17,133,3.02,0.53,9.4,expert,-0.18862329080270193,-0.10666210909022818,0
6.3,0.23,0.21,5.1,29,142,3.36,0.33,10.1,expert,-0.4859465489642138,0.04961733945795267,1
7.8,0.43,0.49,13,37,158,3.14,0.35,11.3,expert,-0.5708960512960745,0.4818796439529744,1
6.5,0.26,0.31,1.3,59,145,3.16,0.54,12.4,expert,-0.5284213001301441,-1.5331277139237187,1
5.5,0.14,0.27,4.6,22,104,3.34,0.44,9,expert,-0.7407950559597954,0.28237396495526923,0
6,0.41,0.21,1.9,29,122,3.42,0.52,10.5,expert,0.15117471852474024,-0.4158959115366435,1
7,0.31,0.31,9.1,45,140,2.98,0.31,12,expert,-0.4434717977982838,-0.6287019691341711,1
6.8,0.44,0.37,5.1,46,201,3.08,0.65,10.5,expert,0.02375046502694932,-0.08338644654049283,0
6.9,0.22,0.28,7.8,43,116,3.22,0.6,11.5,expert,0.15117471852474024,-0.26294155763840904,1
7,0.32,0.35,1.5,24,125,3.17,0.64,12.2,expert,-0.31604754430049287,-0.7484053765327942,1
5.6,0.35,0.4,6.3,23,174,3.54,0.5,11.6,expert,-1.0381183141213075,-0.6154015905343487,1
7,0.18,0.49,5.3,34,125,3.24,0.4,12.2,expert,-0.27357279313456256,-0.8814091625312765,1
6.1,0.41,0.04,1.3,23,121,3.24,0.61,9.9,expert,-0.4434717977982838,-0.5888008333346301,1
6.4,0.26,0.22,5.1,23,131,3.29,0.32,10.1,expert,-0.40099704663235347,0.11611923245717543,0
6.8,0.29,0.49,1.4,52,148,3.08,0.49,9,expert,4.058851825790325,-0.1166373930401042,1
6.7,0.19,0.36,1.1,63,143,3.27,0.48,11,expert,-0.8682193094575864,-0.9479110555304994,1
9,0.27,0.35,4.9,27,95,3.04,0.4,11.3,expert,-0.7832698071257258,-0.282892125538198,1
7.3,0.37,0.16,14.9,59,240,3.13,0.45,8.9,expert,0.06622521619287963,1.652312960739413,0
7.9,0.17,0.32,1.6,47,150,3.29,0.76,9.6,expert,0.27859897202253087,0.24912301845565785,1
6.8,0.37,0.47,11.2,44,136,2.98,0.88,9.2,novice,1.0431444930092755,0.9141419484479592,1
7.1,0.24,0.34,1.2,6,132,3.16,0.46,11.2,novice,-0.061199037304911295,-0.9080099197309583,0
6.9,0.32,0.13,7.8,11,117,3.23,0.37,9.2,novice,-0.18862329080270193,0.6481343764510312,0
7.5,0.23,0.49,7.7,61,209,3.14,0.3,11.1,novice,0.10869996735880993,0.0163663929583413,1
8.6,0.36,0.26,11.1,43.5,171,3.03,0.49,12,novice,-0.6983203047938653,0.24912301845565785,0
7.7,0.28,0.63,11.1,58,179,3.08,0.44,8.8,novice,-0.31604754430049287,1.2799023599437211,0
5.4,0.59,0.07,7,36,147,3.34,0.57,9.7,novice,-0.061199037304911295,0.11611923245717543,1
6.8,0.16,0.36,1.3,32,98,3.02,0.58,11.3,novice,-0.5284213001301441,-1.1540669238280972,1
6.1,0.28,0.27,4.7,56,140,3.16,0.42,12.5,novice,-0.6983203047938653,-1.2072684382274976,1
5.5,0.28,0.21,1.6,23,85,3.42,0.42,12.5,novice,-0.6133708024620047,-1.2571448579769147,0
6.9,0.41,0.33,10.1,28,152,3.2,0.52,9.4,novice,-0.1461485396367719,0.9141419484479592,0
9,0.245,0.38,5.9,52,159,2.93,0.35,10.2,novice,-0.061199037304911295,0.3156249114548806,1
7.2,0.21,0.41,1.3,33,85,3.17,0.51,10.4,novice,-0.4434717977982838,-0.6819034835335714,0
6.8,0.23,0.29,15.4,56,173,3.06,0.41,8.7,novice,1.1280939953411362,1.4461570924417781,1
6.5,0.33,0.3,3.8,34,88,3.25,0.63,12.5,novice,-0.4434717977982838,-1.2538197633269315,1
8,0.27,0.24,1.2,20,102,3.28,0.42,10.9,novice,-0.1036737884708416,-0.3826449650370321,0
6.5,0.39,0.23,5.4,25,149,3.24,0.35,10,novice,0.19364946969067026,-0.21639023253897524,0
5.7,0.1,0.27,1.3,21,100,3.27,0.46,9.5,novice,0.02375046502694932,-0.4158959115366435,0
6.4,0.16,0.31,5.3,42,157,3.35,0.47,10.5,novice,-0.1461485396367719,0.1659956522066294,0
6,0.28,0.34,1.6,33,104,3.19,0.38,10.2,novice,3.0819325489739287,-0.6486525370339601,1
6.2,0.37,0.3,6.6,79,200,3.29,0.58,9.6,novice,12.7237010636401,0.4486286974533261,0
6,0.26,0.29,3.1,37,144,3.22,0.39,12.8,novice,-0.23109804196863223,-1.5331277139237187,1
6.6,0.31,0.07,1.5,55,144,3.16,0.42,10,novice,-0.5708960512960745,-0.6553027263338898,0
6.2,0.21,0.26,13.1,59,150,3.31,0.46,9,novice,0.15117471852474024,1.2200506562444282,0
7,0.22,0.29,8.9,24,90,3.29,0.46,9.8,novice,0.15117471852474024,0.5018302118527265,1
5.7,0.695,0.06,6.8,9,84,3.44,0.44,10.2,novice,-0.18862329080270193,0.08951847525749371,0
8.3,0.2,0.74,4.45,33,130,3.25,0.42,12.2,novice,-0.1036737884708416,-0.5488996975351259,1
7.4,0.18,0.27,1.3,26,105,3.52,0.66,10.6,novice,0.06622521619287963,-0.016884553541270077,1
6.2,0.36,0.45,10.4,22,184,3.31,0.56,9.8,novice,0.5759222301840428,1.0172198825967766,1
5.7,0.45,0.42,1.1,61,197,3.02,0.4,9,novice,0.19364946969067026,-0.282892125538198,0
6.4,0.28,0.56,1.7,49,106,3.1,0.37,9.2,novice,4.653498342113349,-0.16983890743950456,1
6.6,0.21,0.49,18.15,41,158,3.28,0.39,8.7,novice,-0.18862329080270193,1.8784193969368,1
6.1,0.21,0.19,1.4,51,131,3.22,0.39,10.5,novice,-0.018724286138980986,-0.7351049979329348,0
5.9,0.26,0.24,2.4,27,132,3.63,0.73,11.3,novice,-0.018724286138980986,-0.5688502654348779,0
6.3,0.3,0.91,8.2,50,199,3.39,0.49,11.7,novice,-0.5284213001301441,-0.036835121441022134,1
5.8,0.22,0.25,1.5,21,109,3.37,0.58,10.4,novice,-0.9531688117894469,-0.5688502654348779,1
5.9,0.4,0.32,6,50,127,3.51,0.58,12.5,novice,-0.5284213001301441,-0.6819034835335714,1
7.2,0.24,0.29,3,17,117,3.36,0.68,10.1,novice,-0.4434717977982838,0.019691487608324586,1
8.2,0.17,0.32,1.5,17,101,3.14,0.58,9.5,novice,0.15117471852474024,-0.016884553541270077,0
6.2,0.26,0.37,7.1,54,201,3.19,0.48,9.5,novice,0.02375046502694932,0.39210208840397937,1
6.6,0.29,0.31,3.9,39,96,3.24,0.6,12.6,novice,-0.825744558291656,-1.2305441007772329,1
7.2,0.21,0.33,3,35,132,3.25,0.4,11,novice,-0.4434717977982838,-0.4158959115366435,1
5.9,0.32,0.39,3.3,24,140,3.09,0.45,9.2,novice,2.8695587931442774,-0.21639023253897524,1
8.8,0.33,0.44,6.35,9,87,2.96,0.4,12.6,novice,-0.9531688117894469,-0.7816563230324055,1
6.4,0.31,0.38,2.9,19,102,3.17,0.35,11,novice,-0.35852229546642317,-0.9479110555304994,1
6.4,0.125,0.29,5.85,24,99,3.23,0.32,12,novice,-0.18862329080270193,-0.6819034835335714,1
5.1,0.39,0.21,1.7,15,72,3.5,0.45,12.5,novice,-0.825744558291656,-1.546428092523578,1
9.4,0.16,0.3,1.4,26,176,3.15,0.46,9.1,novice,-0.18862329080270193,0.4486286974533261,0
6.2,0.39,0.24,4.8,45,138,3.23,0.43,11.2,novice,-0.40099704663235347,-0.7683559444325831,1
7.6,0.47,0.49,13,42,220,2.96,0.51,9.2,novice,8.178902688885561,1.5791608784402607,0
7.2,0.39,0.62,11,66,178,3.16,0.5,8.7,novice,0.02375046502694932,1.180149520444887,0
7.4,0.25,0.37,6.9,14,93,3,0.48,10.7,novice,-1.123067816453168,-0.05013550004088146,1
6.5,0.27,0.19,6.6,98,175,3.16,0.34,10.1,novice,-0.061199037304911295,-0.13658796093989317,1
8.7,0.22,0.42,2.3,27,114,2.99,0.43,10,novice,0.27859897202253087,-0.016884553541270077,0
7.3,0.22,0.3,8.2,42,207,3.33,0.46,9.5,novice,0.02375046502694932,0.8476400554487364,1
6.8,0.35,0.44,6.5,31,161,3.14,0.44,9.5,novice,0.4060232255203218,0.38212680445410335,0
6.7,0.14,0.51,4.3,57,124,2.91,0.54,10.7,novice,-0.7832698071257258,-0.7617057551326535,1
7,0.32,0.31,6.4,38,115,3.38,0.58,12.2,novice,-0.6558455536279351,-0.5655251707849316,1
6.8,0.11,0.27,8.6,45,104,3.2,0.37,9.9,novice,-0.1036737884708416,0.1626705575566461,1
5.8,0.23,0.31,4.5,42,124,3.31,0.64,10.8,novice,-0.018724286138980986,-0.2695917469383387,1
6.8,0.26,0.33,1.5,44,167,3.12,0.44,10.5,novice,0.02375046502694932,-0.4158959115366435,1
8.4,0.35,0.71,12.2,22,160,2.98,0.65,9.4,novice,-0.018724286138980986,1.3796551994425554,0
7.2,0.13,0.46,1.3,48,111,2.97,0.45,11.1,novice,-0.1036737884708416,-0.924635392980764,0
6.6,0.26,0.22,18.15,23,139,3.06,0.5,9.2,novice,0.15117471852474024,1.6589631500393427,0
6.6,0.3,0.24,1.2,17,121,3.13,0.36,9.2,novice,-0.5284213001301441,-0.24964117903858662,0
8.2,0.4,0.48,13.7,59,169,3.1,0.52,9.4,novice,-0.18862329080270193,1.5126589854410377,0
4.9,0.335,0.14,1.3,69,168,3.47,0.46,10.4666666666667,novice,-0.4434717977982838,-0.6420023477340304,0
7.7,0.28,0.39,8.9,8,117,3.06,0.38,12,novice,-0.4434717977982838,-0.18313928603932697,1
6.9,0.36,0.35,8.6,37,125,3,0.32,12.4,novice,-0.35852229546642317,-0.814907269532017,1
6.8,0.28,0.6,1.1,42,127,3.09,0.44,9.1,novice,3.6341043141310228,-0.21639023253897524,1
8.8,0.28,0.45,6,14,49,3.01,0.33,11.1,novice,-1.0381183141213075,-0.21639023253897524,1
7.6,0.3,0.4,2.2,29,175,3.19,0.53,9.8,novice,0.32107372318846117,0.1327447057069811,0
6.1,0.45,0.27,0.8,13,82,3.23,0.32,9.5,novice,-0.31604754430049287,-0.44914685803625487,0
7.9,0.35,0.28,12.9,13,63,2.99,0.43,13,novice,-0.6133708024620047,-0.282892125538198,1
6.9,0.2,0.41,1.1,36,104,2.99,0.39,9.2,novice,0.5759222301840428,-0.29286740948807405,0
6.6,0.25,0.31,1.5,32,127,3.41,0.47,11.3,novice,-0.4859465489642138,-0.6486525370339601,1
7.2,0.28,0.54,16.7,54,200,3.08,0.49,9.5,novice,-0.061199037304911295,1.6456627714394834,1
6.4,0.34,0.44,8.2,54,201,3.18,0.48,9.5,novice,-0.1461485396367719,0.48520473860292074,0
7.9,0.345,0.51,15.3,54,171,3.09,0.51,9.1,novice,0.02375046502694932,1.545909931940649,0
6.8,0.21,0.31,2.9,40,121,3.07,0.65,10.9,novice,-0.018724286138980986,-0.914660109030888,1
7.4,0.27,0.28,1.8,45,121,3.02,0.4,11.9,novice,-0.27357279313456256,-1.2039433435775144,0
7.4,0.27,0.48,1.1,17,132,3.19,0.49,11.6,novice,0.02375046502694932,-0.8814091625312765,1
6.7,0.22,0.39,1.2,26,152,3.5,0.47,10,novice,0.10869996735880993,-0.19643966463918627,1
6.8,0.31,0.32,7.6,35,143,3.14,0.38,9,novice,0.23612422085660056,0.6148834299514199,0
6.8,0.33,0.28,1.2,38,131,3.19,0.41,13,novice,-0.6133708024620047,-1.7126828250216348,1
6.4,0.16,0.25,1.3,20,77,3.61,0.54,10.2,novice,0.02375046502694932,-0.24964117903858662,1
7.9,0.255,0.26,2,40,190,3.04,0.39,11.2,novice,-0.8682193094575864,-0.282892125538198,1
6,0.17,0.33,6,30,111,3.32,0.58,10.15,novice,-0.4434717977982838,-0.14323815023982284,1
6.8,0.27,0.28,13.3,50,163,3.03,0.38,8.6,novice,1.2555182488389272,1.2799023599437211,1
6.8,0.21,0.36,18.1,32,133,3.27,0.48,8.8,novice,-0.018724286138980986,1.978172236435634,0
6.6,0.25,0.32,5.6,15,68,2.96,0.52,11.1,novice,-0.31604754430049287,-0.8049319855821409,1
5.8,0.4,0.42,4.4,38.5,245,3.25,0.57,9.6,novice,0.02375046502694932,-0.1166373930401042,1
8.2,0.29,0.33,9.1,28,118,2.96,0.4,10.9,novice,-0.4434717977982838,0.4153777509537147,1
6.4,0.24,0.32,14.9,54,162,3.28,0.5,10.2,novice,0.02375046502694932,0.9141419484479592,1
8.4,0.58,0.27,12.15,37,116,2.99,0.39,10.8,novice,-0.5708960512960745,0.6148834299514199,1
6.9,0.31,0.34,7.4,36,174,3.46,0.62,11.1,novice,0.5334474790181124,0.7478872159498654,1
6.9,0.18,0.33,1,24,164,3.42,0.51,10.5,novice,0.32107372318846117,-0.4823978045358663,0
5.6,0.19,0.46,1.1,33,115,3.36,0.5,10.4,novice,-0.6133708024620047,-1.0476638950293335,1
5.7,0.28,0.35,1.2,39,141,3.44,0.69,11.3,novice,0.23612422085660056,-0.9878121913300404,1
7.2,0.29,0.4,7.6,56,177,3.04,0.32,11.5,novice,-0.9531688117894469,-0.4158959115366435,1
5.7,0.28,0.24,17.5,60,167,3.31,0.44,9.4,novice,-0.1036737884708416,1.612411824939872,0
6.8,0.27,0.22,8.1,55,203,3.19,0.52,8.9,novice,-0.5284213001301441,0.6813853229506427,0
5.9,0.32,0.2,14.4,29,144,3.24,0.41,10.3,novice,0.15117471852474024,0.8675906233484885,1
6.4,0.18,0.48,4,64,150,3.06,0.4,9.3,novice,5.927740877091257,0.14937017895682372,0
5.8,0.61,0.01,8.4,31,104,3.26,0.72,14.05,novice,-0.23109804196863223,-1.0476638950293335,1
5.6,0.18,0.27,1.7,31,103,3.35,0.37,12.9,novice,-0.6983203047938653,-1.7060326357217053,1
6.2,0.33,0.19,5.6,22,143,3.15,0.63,9.9,novice,-0.18862329080270193,0.06624281270775836,0
5.8,0.24,0.26,10.05,63,162,3.33,0.5,11.2,novice,-0.31604754430049287,-0.10001191979029851,1
6,0.34,0.24,5.4,23,126,3.25,0.44,9,novice,0.5759222301840428,0.348875857954492,1
6.6,0.18,0.26,17.3,17,149,3,0.43,9.4,novice,0.19364946969067026,1.4461570924417781,1
7,0.22,0.33,2.1,15,76,3.2,0.41,10.6,novice,0.23612422085660056,-0.34939401853742075,1
8.9,0.34,0.32,1.3,12,188,3.17,0.49,9.5,novice,-0.23109804196863223,0.4153777509537147,0
6.3,0.27,0.25,5.8,52,155,3.28,0.38,9.4,novice,-0.35852229546642317,0.3156249114548806,1
7.4,0.18,0.42,2.1,33,187,3.4,0.41,10.6,novice,-0.4434717977982838,-0.08338644654049283,1
7,0.22,0.26,9.2,37,122,3.06,0.34,12.5,novice,-0.825744558291656,-0.5888008333346301,1
8,0.61,0.38,12.1,24,220,2.94,0.48,9.2,novice,10.812337261173239,1.7454156109383174,0
7.5,0.21,0.29,1.5,35,107,3.15,0.45,11.3,novice,-0.018724286138980986,-0.9379357715805864,1
5.8,0.25,0.26,13.1,44,148,3.29,0.38,9.3,novice,0.19364946969067026,1.0471457344464048,0
6.8,0.26,0.22,7.7,57,210,3.1,0.47,9,novice,0.02375046502694932,0.6148834299514199,0
6.9,0.18,0.36,1.3,40,117,3.27,0.95,9.5,novice,-0.4434717977982838,-0.21639023253897524,1
6.8,0.2,0.25,6.2,22,106,3.09,0.54,10.8,novice,0.23612422085660056,-0.18313928603932697,0
6.3,0.3,0.2,3.7,34,132,3,0.38,10.7,novice,-0.31604754430049287,-0.8215574588319466,0
7.5,0.32,0.49,1.7,44,109,3.07,0.46,12.5,novice,-0.6558455536279351,-1.1474167345281676,1
6.6,0.56,0.22,8.9,27,133,3.2,0.51,9.1,novice,-0.5284213001301441,0.8975164751981535,0
6.4,0.68,0.26,3.4,25,146,3.18,0.4,9.3,novice,0.9581949906774155,-0.1931145699892399,0
6.8,0.32,0.43,1.6,4,65,3.27,0.47,10.7,novice,0.15117471852474024,-0.19643966463918627,0
7.1,0.28,0.26,1.9,12,86,3.15,0.38,9.4,novice,0.10869996735880993,-0.21639023253897524,0
6.4,0.21,0.34,16.05,56,142,3.11,0.38,10.6,novice,-0.27357279313456256,0.9074917591480295,0
6.2,0.21,0.27,1.7,41,150,3.49,0.71,10.5,novice,-0.35852229546642317,-0.24964117903858662,1
7.2,0.4,0.62,10.8,70,189,3.08,0.49,8.6,novice,-0.23109804196863223,1.180149520444887,0
6,0.27,0.3,14.7,15,144,3.12,0.53,10.3,novice,-0.1036737884708416,0.8675906233484885,1
7,0.21,0.28,8.6,37,221,3.25,0.54,10.4,novice,-0.061199037304911295,0.4486286974533261,1
7,0.22,0.31,2.7,41,136,3.16,0.37,12.7,novice,-0.6983203047938653,-1.4134243065250955,1
6.9,0.19,0.33,1.6,63,149,3.44,0.52,10.8,novice,-0.1461485396367719,-0.5156487510354776,0
6.4,0.29,0.18,15,21,116,3.14,0.5,9.2,novice,-0.27357279313456256,1.100347248845805,0
6.3,0.28,0.34,8.1,44,129,3.26,0.29,12.1,novice,-0.35852229546642317,-0.5222989403354072,1
6.6,0.19,0.28,11.8,54,137,3.18,0.37,10.8,novice,-0.18862329080270193,0.2890241542551989,1
7.4,0.25,0.28,7.25,14,78,2.94,0.37,11.5,novice,-0.7832698071257258,-0.5555498868350187,1
7.6,0.3,0.37,1.6,27,177,3.09,0.5,9.8,novice,1.7227405116641599,0.10946904315728269,0
7.5,0.26,0.59,11.8,58,164,3.17,0.46,8.9,novice,-0.018724286138980986,1.3597046315428034,0
5.3,0.395,0.07,1.3,26,102,3.5,0.35,10.6,novice,-0.4859465489642138,-0.6819034835335714,1
6.15,0.21,0.37,3.2,20,80,3.39,0.47,12,novice,-1.0805930652872378,-1.0942152201288042,0
6.6,0.32,0.41,7.2,55,178,3.2,0.46,9.4,novice,0.06622521619287963,0.43865341350345005,0
6.5,0.3,0.29,2.25,8,210,3.19,0.62,9.9,novice,-0.40099704663235347,-0.1166373930401042,0
6.6,0.38,0.29,2.9,15,101,3.04,0.37,12.5,novice,-0.4859465489642138,-1.626230364122623,1
7.2,0.23,0.19,13.7,47,197,3.12,0.53,9,novice,0.23612422085660056,1.5292844586908434,0
6.5,0.25,0.27,17.4,29,140,3.2,0.49,10.1,novice,0.745821234847764,1.2333510348442505,1
7.2,0.23,0.82,1.3,70,109,2.93,0.42,9.2,novice,4.356175083951837,-0.3360936399375614,1
7.4,0.3,0.49,8.2,49,188,3.52,0.58,9.7,novice,0.36354847435439147,1.1136476274456275,1
