fixed.acidity,residual.sugar,free.sulfur.dioxide,total.sulfur.dioxide,alcohol,chlorides_std,density_std,sulphates_std,pH_std,volatile_acidity_std,citric_acid_std,high_quality
9.4,1.4,26,176,9.1,-0.18343234158333804,0.4594113192095477,-0.2693752309057698,-0.26140755297517193,-1.1689450225660978,-0.2729134264269223,0
6.2,4.8,45,138,11.2,-0.39864703347204766,-0.7598510688346871,-0.5336078695961679,0.2610704703794582,1.07757196150298,-0.7615724302333099,1
7.6,13,42,220,9.2,8.296026518831814,1.5920594392506644,0.1710125002448932,-1.5022928584424171,1.8589691733530938,1.2745067522933051,0
7.2,11,66,178,8.7,0.031782350305371326,1.1923012792361678,0.0829349540147605,-0.19609780005584174,1.07757196150298,2.3332679272071446,0
7.4,6.9,14,93,10.7,-1.1303769858936599,-0.04028638080856377,-0.0932201384455049,-1.241053846765102,-0.28987315923471957,0.2971887446805299,1
6.5,6.6,98,175,10.1,-0.054303526450112535,-0.12690064881171886,-1.3263057856673612,-0.19609780005584174,-0.09452385627219091,-1.1687882667386327,1
8.7,2.3,27,114,10,0.2900399805718226,-0.0069732008073588,-0.5336078695961679,-1.3063635996844294,-0.5828971136785124,0.7044045811858528,0
7.3,8.2,42,207,9.5,0.031782350305371326,0.8591694792240813,-0.2693752309057698,0.9141679995727459,-0.5828971136785124,-0.2729134264269223,1
6.8,6.5,31,161,9.5,0.4191687957050484,0.39278495920713774,-0.44553032336603526,-0.32671730589449927,0.6868733555779227,0.8672909157879821,0
6.7,4.3,57,124,10.7,-0.7860334788717246,-0.7531884328344388,0.4352451389352913,-1.8288416230390594,-1.3642943255286262,1.4373930868954343,1
7,6.4,38,115,12.2,-0.656904663738499,-0.5566406708273147,0.7875553238558212,1.2407167641693881,0.39384940113413025,-0.19147025912585763,1
6.8,8.6,45,104,9.9,-0.09734646482785447,0.1729179711991628,-1.0620731469769638,0.06514121162147334,-1.6573182799724193,-0.5172429283301159,1
5.8,4.5,42,124,10.8,-0.011260588072370606,-0.2601533688165387,1.3160206012366173,0.7835484937340883,-0.485222462197248,-0.19147025912585763,1
6.8,1.5,44,167,10.5,0.031782350305371326,-0.40673136082185535,-0.44553032336603526,-0.45733681173315677,-0.19219850775345526,-0.028583924523728304,1
8.4,12.2,22,160,9.4,-0.011260588072370606,1.3921803592433977,1.4040981474667502,-1.3716733526037594,0.6868733555779227,3.066256432916726,0
6.5,15.7,51,190,9.7,0.2900399805718226,1.2589276392385778,0.1710125002448932,0.19576071746013088,0.003150795209073428,-0.028583924523728304,1
7.2,1.3,48,111,11.1,-0.09734646482785447,-0.9164230148403579,-0.3574527771359025,-1.4369831055230868,-1.4619689770098905,1.0301772503901114,0
6.6,18.15,23,139,9.2,0.16091116543859713,1.6720110712535712,0.0829349540147605,-0.8491953292491294,-0.19219850775345526,-0.924458764835439,0
6.6,1.2,17,121,9.2,-0.5277758486052732,-0.24016546081583054,-1.1501506932070964,-0.3920270588138295,0.19850009817160155,-0.7615724302333099,0
8.2,13.7,59,169,9.4,-0.18343234158333804,1.5254330792482544,0.2590900464750259,-0.5879563175718143,1.1752466129842445,1.1930635849922404,0
4.9,1.3,69,168,10.4666666666667,-0.44168997184978964,-0.6332609848300788,-0.2693752309057698,1.8285045404433486,0.5403613783560267,-1.5760041032439556,0
7.7,8.9,8,117,12,-0.44168997184978964,-0.1735391008133836,-0.973995600746831,-0.8491953292491294,0.003150795209073428,0.4600750792826592,1
6.9,8.6,37,125,12.4,-0.35560409509430574,-0.806489520836352,-1.5024608781276267,-1.241053846765102,0.784548007059187,0.13430241007840057,1
6.8,1.1,42,127,9.1,3.6904321124134323,-0.20685228081462556,-0.44553032336603526,-0.6532660704911445,0.003150795209073428,2.1703815926050156,1
8.8,6,14,49,11.1,-1.0442911091381761,-0.20685228081462556,-1.414383331897494,-1.1757440938457746,0.003150795209073428,0.9487340830890468,1
7.6,2.2,29,175,9.8,0.33308291894956454,0.14293610919806354,0.3471675927051586,-1.6854129785687493e-4,0.19850009817160155,0.5415182465837239,0
6.1,0.8,13,82,9.5,-0.3125611567165638,-0.4400445408230603,-1.5024608781276267,0.2610704703794582,1.6636198703905656,-0.5172429283301159,0
7.9,12.9,13,63,13,-0.613861725360757,-0.2734786408170355,-0.5336078695961679,-1.3063635996844294,0.6868733555779227,-0.4357997610290512,1
6.9,1.1,36,104,9.2,0.5913405492160159,-0.2834725948173896,-0.8859180545166983,-1.3063635996844294,-0.7782464166410408,0.6229614138847881,0
6.6,1.5,32,127,11.3,-0.48473291022753123,-0.6399236208303271,-0.18129768467563762,1.436646022927376,-0.28987315923471957,-0.19147025912585763,1
7.2,16.7,54,200,9.5,-0.054303526450112535,1.6586857992530744,-0.005142592215372198,-0.7185758234104719,0.003150795209073428,1.6817225887986285,1
6.4,8.2,54,201,9.5,-0.1403894032055964,0.49605581721089537,-0.0932201384455049,-0.0654782942171842,0.5891987040966589,0.8672909157879821,0
7.9,15.3,54,171,9.1,0.031782350305371326,1.5587462592494594,0.1710125002448932,-0.6532660704911445,0.6380360298372906,1.4373930868954343,0
6.8,2.9,40,121,10.9,-0.011260588072370606,-0.9064290608400039,1.4040981474667502,-0.783885576329802,-0.6805717651597767,-0.19147025912585763,1
7.4,1.8,45,121,11.9,-0.2695182183388219,-1.1962537268504945,-0.7978405082865656,-1.1104343409264446,-0.09452385627219091,-0.4357997610290512,0
7.4,1.1,17,132,11.6,0.031782350305371326,-0.8731158808387989,-0.005142592215372198,-1.6854129785687493e-4,-0.09452385627219091,1.1930635849922404,1
6.7,1.2,26,152,10,0.11786822706085519,-0.1868643728138804,-0.18129768467563762,2.0244337992013333,-0.5828971136785124,0.4600750792826592,1
6.8,7.6,35,143,9,0.24699704219408067,0.6259772192156094,-0.973995600746831,-0.32671730589449927,0.2961747496528659,-0.11002709182479298,0
6.8,1.2,38,131,13,-0.613861725360757,-1.7059453808689968,-0.7097629620564333,-1.6854129785687493e-4,0.49152405261539456,-0.4357997610290512,1
6.4,1.3,20,77,10.2,0.031782350305371326,-0.24016546081583054,0.4352451389352913,2.7428410813139483,-1.1689450225660978,-0.6801292629322452,1
7.9,2,40,190,11.2,-0.8721193556272084,-0.2734786408170355,-0.8859180545166983,-0.9798148350877869,-0.24103583349408741,-0.5986860956311806,1
6,6,30,111,10.15,-0.44168997184978964,-0.13356328481196725,0.7875553238558212,0.8488582466534156,-1.0712703710848335,-0.028583924523728304,1
6.8,13.3,50,163,8.6,1.280027563259886,1.2922408192397827,-0.973995600746831,-1.0451245880071172,-0.09452385627219091,-0.4357997610290512,1
7.7,2.3,36,178,10.6,0.11786822706085519,-0.30679182081824047,1.3160206012366173,-0.1307880471365144,0.10082544669033723,1.1930635849922404,1
6.8,18.1,32,133,8.8,-0.011260588072370606,1.991817599265161,-0.0932201384455049,0.5223094820567733,-0.6805717651597767,0.21574557737946526,0
6.6,5.6,15,68,11.1,-0.3125611567165638,-0.7964955668359979,0.2590900464750259,-1.5022928584424171,-0.28987315923471957,-0.11002709182479298,1
5.8,4.4,38.5,245,9.6,0.031782350305371326,-0.1069127408109737,0.6994777776256885,0.39168997621811574,1.1752466129842445,0.7044045811858528,1
8.2,9.1,28,118,10.9,-0.44168997184978964,0.4260981392083427,-0.7978405082865656,-1.5022928584424171,0.10082544669033723,-0.028583924523728304,1
6.4,14.9,54,162,10.2,0.031782350305371326,0.9257958392264912,0.0829349540147605,0.5876192349761006,-0.38754781071598393,-0.11002709182479298,1
8.4,12.15,37,116,10.8,-0.5708187869830151,0.6259772192156094,-0.8859180545166983,-1.3063635996844294,2.9333903396470005,-0.5172429283301159,1
6.9,7.4,36,174,11.1,0.5482976108382739,0.7592299392204294,1.139865508776352,1.7631947875240184,0.2961747496528659,0.05285924277733636,1
6.9,1,24,164,10.5,0.33308291894956454,-0.4733577208242653,0.1710125002448932,1.5019557758467033,-0.9735957196035694,-0.028583924523728304,0
5.6,1.1,33,115,10.4,-0.613861725360757,-1.0396817808448238,0.0829349540147605,1.1100972583307307,-0.8759210681223051,1.0301772503901114,1
5.7,1.2,39,141,11.3,0.24699704219408067,-0.9797180568426621,1.75640833238728,1.632575281685361,0.003150795209073428,0.13430241007840057,1
7.2,7.6,56,177,11.5,-0.9582052323826922,-0.40673136082185535,-1.5024608781276267,-0.9798148350877869,0.10082544669033723,0.5415182465837239,1
5.7,17.5,60,167,9.4,-0.09734646482785447,1.6253726192518694,-0.44553032336603526,0.7835484937340883,0.003150795209073428,-0.7615724302333099,0
6.8,8.1,55,203,8.9,-0.5277758486052732,0.6926035792180194,0.2590900464750259,-1.6854129785687493e-4,-0.09452385627219091,-0.924458764835439,0
5.9,14.4,29,144,10.3,0.16091116543859713,0.8791573872247894,-0.7097629620564333,0.3263802232987884,0.39384940113413025,-1.0873450994375682,1
6.4,4,64,150,9.3,6.014750784811494,0.159592699198703,-0.7978405082865656,-0.8491953292491294,-0.9735957196035694,1.1930635849922404,0
5.8,8.4,31,104,14.05,-0.22647527996107997,-1.0396817808448238,2.020640971077678,0.456999729137443,3.226414294090793,-2.6347652781577953,1
5.6,1.7,31,103,12.9,-0.6999476021162409,-1.6992827448687486,-1.0620731469769638,1.0447875054114033,-0.9735957196035694,-0.5172429283301159,1
6.2,5.6,22,143,9.9,-0.18343234158333804,0.07630974919565361,1.2279430550064847,-0.26140755297517193,0.49152405261539456,-1.1687882667386327,0
5.8,10.05,63,162,11.2,-0.3125611567165638,-0.09025615081037121,0.0829349540147605,0.9141679995727459,-0.38754781071598393,-0.5986860956311806,1
6,5.4,23,126,9,0.5913405492160159,0.3594717792059328,-0.44553032336603526,0.39168997621811574,0.5891987040966589,-0.7615724302333099,1
6.6,17.3,17,149,9.4,0.20395410381633874,1.4588067192458076,-0.5336078695961679,-1.241053846765102,-0.9735957196035694,-0.5986860956311806,1
7,2.1,15,76,10.6,0.24699704219408067,-0.34010500081944545,-0.7097629620564333,0.06514121162147334,-0.5828971136785124,-0.028583924523728304,1
8.9,1.3,12,188,9.5,-0.22647527996107997,0.4260981392083427,-0.005142592215372198,-0.1307880471365144,0.5891987040966589,-0.11002709182479298,0
6.3,5.8,52,155,9.4,-0.35560409509430574,0.32615859920472784,-0.973995600746831,0.5876192349761006,-0.09452385627219091,-0.6801292629322452,1
7.4,2.1,33,187,10.6,-0.44168997184978964,-0.07359956080976873,-0.7097629620564333,1.3713362700080458,-0.9735957196035694,0.7044045811858528,1
7,9.2,37,122,12.5,-0.8290764172494666,-0.5799598968281285,-1.3263057856673612,-0.8491953292491294,-0.5828971136785124,-0.5986860956311806,1
8,12.1,24,220,9.2,10.964688698251813,1.7586253392566893,-0.0932201384455049,-1.6329123642810746,3.226414294090793,0.37863191198159457,0
7.5,1.5,35,107,11.3,-0.011260588072370606,-0.9297482868408177,-0.3574527771359025,-0.26140755297517193,-0.6805717651597767,-0.354356593727987,1
5.8,13.1,44,148,9.3,0.20395410381633874,1.059048559231311,-0.973995600746831,0.6529289878954307,-0.28987315923471957,-0.5986860956311806,0
6.8,7.7,57,210,9,0.031782350305371326,0.6259772192156094,-0.18129768467563762,-0.5879563175718143,-0.19219850775345526,-0.924458764835439,0
6.9,1.3,40,117,9.5,-0.44168997184978964,-0.20685228081462556,4.046424534370728,0.5223094820567733,-0.9735957196035694,0.21574557737946526,1
6.8,6.2,22,106,10.8,0.24699704219408067,-0.1735391008133836,0.4352451389352913,-0.6532660704911445,-0.7782464166410408,-0.6801292629322452,0
6.3,3.7,34,132,10.7,-0.3125611567165638,-0.8131521568366004,-0.973995600746831,-1.241053846765102,0.19850009817160155,-1.0873450994375682,0
7.5,1.7,44,109,12.5,-0.656904663738499,-1.1396213208484385,-0.2693752309057698,-0.783885576329802,0.39384940113413025,1.2745067522933051,1
6.6,8.9,27,133,9.1,-0.5277758486052732,0.9091392492258887,0.1710125002448932,0.06514121162147334,2.7380410366844727,-0.924458764835439,0
6.4,3.4,25,146,9.3,0.9787269946156932,-0.18353305481377472,-0.7978405082865656,-0.0654782942171842,3.9101368544596435,-0.5986860956311806,0
6.8,1.6,4,65,10.7,0.16091116543859713,-0.1868643728138804,-0.18129768467563762,0.5223094820567733,0.39384940113413025,0.7858477484869175,0
7.1,1.9,12,86,9.4,0.11786822706085519,-0.20685228081462556,-0.973995600746831,-0.26140755297517193,0.003150795209073428,-0.5986860956311806,0
6.4,16.05,56,142,10.6,-0.2695182183388219,0.9191332032262428,-0.973995600746831,-0.522646564652487,-0.6805717651597767,0.05285924277733636,0
6.2,1.7,41,150,10.5,-0.35560409509430574,-0.24016546081583054,1.9325634248475454,1.959124046282006,-0.6805717651597767,-0.5172429283301159,1
7.2,10.8,70,189,8.6,-0.22647527996107997,1.1923012792361678,-0.005142592215372198,-0.7185758234104719,1.1752466129842445,2.3332679272071446,0
6,14.7,15,144,10.3,-0.09734646482785447,0.8791573872247894,0.3471675927051586,-0.45733681173315677,-0.09452385627219091,-0.2729134264269223,1
7,6.1,60,184,9.4,-0.18343234158333804,0.5460255872127028,0.0829349540147605,0.06514121162147334,-0.09452385627219091,1.1930635849922404,1
7,8.6,37,221,10.4,-0.054303526450112535,0.4594113192095477,0.4352451389352913,0.39168997621811574,-0.6805717651597767,-0.4357997610290512,1
7,2.7,41,136,12.7,-0.6999476021162409,-1.4061267608581152,-1.0620731469769638,-0.19609780005584174,-0.5828971136785124,-0.19147025912585763,1
6.9,1.6,63,149,10.8,-0.1403894032055964,-0.5066709008254703,0.2590900464750259,1.632575281685361,-0.8759210681223051,-0.028583924523728304,0
6.4,15,21,116,9.2,-0.2695182183388219,1.1123496472332612,0.0829349540147605,-0.32671730589449927,0.10082544669033723,-1.2502314340396974,0
6.3,8.1,44,129,12.1,-0.35560409509430574,-0.5133335368257187,-1.766693516818025,0.456999729137443,0.003150795209073428,0.05285924277733636,1
6.6,11.8,54,137,10.8,-0.18343234158333804,0.2995080552037713,-1.0620731469769638,-0.0654782942171842,-0.8759210681223051,-0.4357997610290512,1
7.4,7.25,14,78,11.5,-0.7860334788717246,-0.5466467168269236,-1.0620731469769638,-1.6329123642810746,-0.28987315923471957,-0.4357997610290512,1
7.6,1.6,27,177,9.8,1.7534998854150468,0.11961688319724965,0.0829349540147605,-0.6532660704911445,0.19850009817160155,0.2971887446805299,0
7.5,11.8,58,164,8.9,-0.011260588072370606,1.3721924512426895,-0.2693752309057698,-0.1307880471365144,-0.19219850775345526,2.088938425303951,0
5.3,1.3,26,102,10.6,-0.48473291022753123,-0.673236800831532,-1.238228239437229,2.0244337992013333,1.1264092872436122,-2.146106274351408,1
6.15,3.2,20,80,12,-1.087334047515918,-1.0863202328465253,-0.18129768467563762,1.3060265170887184,-0.6805717651597767,0.2971887446805299,0
6.6,7.2,55,178,9.4,0.07482528868311325,0.4494173652091936,-0.2693752309057698,0.06514121162147334,0.39384940113413025,0.6229614138847881,0
6.5,2.25,8,210,9.9,-0.39864703347204766,-0.1069127408109737,1.139865508776352,-1.6854129785687493e-4,0.19850009817160155,-0.354356593727987,0
6.6,2.9,15,101,12.5,-0.48473291022753123,-1.6193311128658419,-1.0620731469769638,-0.9798148350877869,0.9798973100217158,-0.354356593727987,1
7.2,13.7,47,197,9,0.24699704219408067,1.542089669248857,0.3471675927051586,-0.45733681173315677,-0.485222462197248,-1.1687882667386327,0
6.5,17.4,29,140,10.1,0.7635123027269836,1.245602367238081,-0.005142592215372198,0.06514121162147334,-0.28987315923471957,-0.5172429283301159,1
7.2,1.3,70,109,9.2,4.422162064835044,-0.3267797288189487,-0.6216854158263007,-1.698222117200402,-0.485222462197248,3.962131273228436,1
7.4,8.2,49,188,9.7,0.37612585732730647,1.125674919233721,0.7875553238558212,2.155053305039991,0.19850009817160155,1.2745067522933051,1
7.4,11.8,55,173,9.8,0.2900399805718226,0.9890908812287954,0.9637104163160866,-0.522646564652487,-0.09452385627219091,-0.5986860956311806,0
7.7,11.2,41,167,11.3,-0.656904663738499,0.2595322392023179,-0.5336078695961679,-0.45733681173315677,1.5659452189093013,-0.7615724302333099,1
6.6,16.05,31,147,9.2,-0.054303526450112535,1.398842995243646,0.2590900464750259,-0.7185758234104719,0.49152405261539456,-0.7615724302333099,0
6.5,14.2,47,129,10.3,-0.3125611567165638,0.9191332032262428,2.020640971077678,0.5876192349761006,-0.9735957196035694,0.6229614138847881,1
5.4,6.5,26,87,12.5,-0.7429905404939827,-1.0330191448445754,-0.44553032336603526,0.6529289878954307,-0.5828971136785124,0.13430241007840057,1
6.2,4.9,30,134,10.4,-0.44168997184978964,-0.4400445408230603,-0.6216854158263007,0.06514121162147334,0.49152405261539456,-0.5172429283301159,1
6.7,2.7,27,202,10.5,0.33308291894956454,0.2595322392023179,0.6994777776256885,1.7631947875240184,1.07757196150298,-0.19147025912585763,1
5.7,1.5,21,108,11,-0.09734646482785447,-0.8664532448385505,0.8756328700859539,0.7182387408147581,-0.28987315923471957,-1.0059019321365037,1
6.7,1.6,24,102,11.6,-0.7860334788717246,-0.9064290608400039,0.8756328700859539,0.6529289878954307,-0.5828971136785124,0.2971887446805299,1
5.7,1.1,26,81,11.4,-0.48473291022753123,-1.2728740408532955,0.2590900464750259,0.7835484937340883,-0.6805717651597767,-0.6801292629322452,1
7,6.4,42,123,11,0.37612585732730647,-0.2801412768172839,0.0829349540147605,-0.522646564652487,-1.0712703710848335,0.21574557737946526,1
5.9,7.9,48,197,9.4,-0.09734646482785447,0.3661344152061812,-1.1501506932070964,0.13045096454080066,0.10082544669033723,-1.4131177686418266,0
7.2,18.15,59,182,9.6,0.031782350305371326,1.7253121592554843,0.2590900464750259,-0.6532660704911445,0.10082544669033723,1.6002794214975637,0
6.8,12.9,79.5,183,10.2,-0.09734646482785447,1.1323375552339694,2.5491062484584743,0.3263802232987884,-1.266619674047362,0.6229614138847881,1
6.5,1.4,31,132,10.8,-0.2695182183388219,-0.6066104408291222,0.4352451389352913,1.1100972583307307,-0.8759210681223051,-0.11002709182479298,1
7.4,1.7,23,110,10.9,-0.48473291022753123,-0.4733577208242653,-0.973995600746831,-0.783885576329802,0.10082544669033723,-0.19147025912585763,0
7.8,1.6,26,189,12.1,-0.8721193556272084,-1.0063686008436188,2.1967960635379433,-0.7185758234104719,-0.7782464166410408,-0.7615724302333099,1
7.8,13.6,38,118,10,0.24699704219408067,1.3255539992409877,0.0829349540147605,-0.26140755297517193,-0.9735957196035694,1.0301772503901114,1
5.5,0.9,52,103,11.2,-0.2695182183388219,-1.2528861328525502,-0.8859180545166983,2.0244337992013333,-0.8759210681223051,-0.5172429283301159,0
7,1.4,33,128,12.2,-0.39864703347204766,-1.4727531208605251,-1.1501506932070964,-0.45733681173315677,0.2961747496528659,-0.354356593727987,1
7.2,10.4,23,114,10.5,0.6774264259714997,0.8591694792240813,-0.005142592215372198,0.2610704703794582,-0.19219850775345526,-0.11002709182479298,0
6.4,11.1,66,169,9,0.7204693643492416,1.092361739232516,0.6994777776256885,-1.959461128877717,0.10082544669033723,-0.4357997610290512,0
7,4.8,34,132,9.6,-0.5277758486052732,0.12627951919746105,-0.0932201384455049,1.1100972583307307,-1.0712703710848335,-0.19147025912585763,1
5.9,1.5,19,78,11.9,-0.39864703347204766,-1.1496152748488295,-0.6216854158263007,1.8285045404433486,1.956643824834358,-0.2729134264269223,1
6.4,1.6,34,127,10.5,0.24699704219408067,-0.3734181808206504,0.6114002313955568,1.8938142933626758,0.003150795209073428,-0.354356593727987,1
6,3.5,38,111,13.6,-0.48473291022753123,-1.7659091048711584,-0.18129768467563762,-0.0654782942171842,0.9798973100217158,-0.5986860956311806,1
6.3,2,33,96,12.8,-1.0442911091381761,-1.6659695648675437,0.4352451389352913,-0.9798148350877869,-0.8759210681223051,-0.354356593727987,1
5.8,6.1,27,123,9.9,-0.18343234158333804,-0.13356328481196725,0.9637104163160866,-0.8491953292491294,-1.3642943255286262,-1.4945609359428913,1
8.3,7.9,38,107,11.9,-0.9151622940049503,-0.32011709281870027,-1.0620731469769638,-1.698222117200402,-1.1689450225660978,0.2971887446805299,1
8.3,19.25,41,172,9.7,-0.2695182183388219,2.0584439592675707,1.5802532399270155,-1.3716733526037594,1.3705959159467724,2.3332679272071446,0
7.6,4.8,26,76,12.3,-0.5708187869830151,-1.0863202328465253,-0.005142592215372198,-1.3716733526037594,-0.7782464166410408,-0.5986860956311806,1
7.4,13.7,33,168,8.7,0.4191687957050484,1.408836949244,-0.44553032336603526,-1.8941513759583897,-1.1689450225660978,-0.2729134264269223,1
6.7,2,12,74,12.5,-0.5708187869830151,-1.1262960488479787,1.4040981474667502,0.6529289878954307,0.2961747496528659,-0.028583924523728304,1
